#,Company Name,Job Title,Category,Application Link,Platform,Date Applied,Status,Salary,Resume Version Used,Cover Letter Version Used,Recruiter Information,Notes
80,Behance Joblist,Graphic / Brand Designer,Graphic Design,https://www.behance.net/joblist,Behance Joblist,,Ready to apply,Competitive,BehanceJoblist_GraphicBrandDesigner_CustomResume.pdf,BehanceJoblist_GraphicBrandDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
81,Dribbble Jobs,Graphic Designer (Remote),Graphic Design,https://dribbble.com/jobs,Dribbble Jobs,,Ready to apply,Competitive,DribbbleJobs_GraphicDesignerRemote_CustomResume.pdf,DribbbleJobs_GraphicDesignerRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
82,Toptal,Freelance Graphic Designer,Graphic Design,https://www.toptal.com/designers,Toptal,,Ready to apply,Premium,Toptal_FreelanceGraphicDesigner_CustomResume.pdf,Toptal_FreelanceGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
83,FlexJobs,Remote Graphic Designer,Graphic Design,https://www.flexjobs.com/remote-jobs/graphic-design,FlexJobs,,Ready to apply,Competitive,FlexJobs_RemoteGraphicDesigner_CustomResume.pdf,FlexJobs_RemoteGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
84,LinkedIn Jobs,Graphic Designer (Remote),Graphic Design,https://www.linkedin.com/jobs/search/?keywords=graphic%20designer&f_WT=2,LinkedIn Jobs,,Ready to apply,Competitive,LinkedInJobs_GraphicDesignerRemote_CustomResume.pdf,LinkedInJobs_GraphicDesignerRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
85,Google Jobs,Remote Graphic Designer,Graphic Design,https://www.google.com/search?q=remote+graphic+designer+jobs&ibp=htl;jobs,Google Jobs,,Ready to apply,Competitive,GoogleJobs_RemoteGraphicDesigner_CustomResume.pdf,GoogleJobs_RemoteGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
86,Adzuna,Freelance Graphic Designer,Graphic Design,https://www.adzuna.co.za/graphic-design/remote,Adzuna,,Ready to apply,Competitive,Adzuna_FreelanceGraphicDesigner_CustomResume.pdf,Adzuna_FreelanceGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
87,DesignProject.io,Visual & Graphic Designer,Graphic Design,https://designproject.io/jobs/remote/visual-and-graphic-design,DesignProject.io,,Ready to apply,Competitive,DesignProjectio_VisualGraphicDesigner_CustomResume.pdf,DesignProjectio_VisualGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
88,LinkedIn Jobs,Presentation Designer (Remote),PowerPoint,https://www.linkedin.com/jobs/search/?keywords=presentation%20designer&f_WT=2,LinkedIn Jobs,,Ready to apply,Competitive,LinkedInJobs_PresentationDesignerRemote_CustomResume.pdf,LinkedInJobs_PresentationDesignerRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
89,LinkedIn Jobs,Excel Data Analyst (Remote),Excel/Data,https://www.linkedin.com/jobs/search/?keywords=excel%20data%20analyst&f_WT=2,LinkedIn Jobs,,Ready to apply,Competitive,LinkedInJobs_ExcelDataAnalystRemote_CustomResume.pdf,LinkedInJobs_ExcelDataAnalystRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
90,LinkedIn Jobs,Microsoft Office Specialist (Remote),MS Office,https://www.linkedin.com/jobs/search/?keywords=microsoft%20office%20specialist&f_WT=2,LinkedIn Jobs,,Ready to apply,Competitive,LinkedInJobs_MicrosoftOfficeSpecialistRemote_CustomResume.pdf,LinkedInJobs_MicrosoftOfficeSpecialistRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
91,Google Jobs,Remote PowerPoint Designer,PowerPoint,https://www.google.com/search?q=remote+powerpoint+designer+jobs&ibp=htl;jobs,Google Jobs,,Ready to apply,Competitive,GoogleJobs_RemotePowerPointDesigner_CustomResume.pdf,GoogleJobs_RemotePowerPointDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
92,Google Jobs,Remote Excel Data Analyst,Excel/Data,https://www.google.com/search?q=remote+excel+data+analyst+jobs&ibp=htl;jobs,Google Jobs,,Ready to apply,Competitive,GoogleJobs_RemoteExcelDataAnalyst_CustomResume.pdf,GoogleJobs_RemoteExcelDataAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
93,Google Jobs,Remote Data Entry Specialist,MS Office,https://www.google.com/search?q=remote+data+entry+specialist+jobs&ibp=htl;jobs,Google Jobs,,Ready to apply,Competitive,GoogleJobs_RemoteDataEntrySpecialist_CustomResume.pdf,GoogleJobs_RemoteDataEntrySpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
94,FlexJobs,Remote PowerPoint Presentation Designer,PowerPoint,https://www.flexjobs.com/remote-jobs/presentation-design,FlexJobs,,Ready to apply,Competitive,FlexJobs_RemotePowerPointPresentationDesigner_CustomResume.pdf,FlexJobs_RemotePowerPointPresentationDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
95,FlexJobs,Remote Data Analyst (Excel),Excel/Data,https://www.flexjobs.com/remote-jobs/data-analysis,FlexJobs,,Ready to apply,Competitive,FlexJobs_RemoteDataAnalystExcel_CustomResume.pdf,FlexJobs_RemoteDataAnalystExcel_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
96,FlexJobs,Remote Administrative / MS Office Assistant,MS Office,https://www.flexjobs.com/remote-jobs/administrative,FlexJobs,,Ready to apply,Competitive,FlexJobs_RemoteAdministrativeMSOfficeAssistant_CustomResume.pdf,FlexJobs_RemoteAdministrativeMSOfficeAssistant_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
97,Wellfound,Presentation / Visual Designer (Startup),PowerPoint,https://wellfound.com/role/r/presentation-designer,Wellfound,,Ready to apply,Competitive,Wellfound_PresentationVisualDesignerStartup_CustomResume.pdf,Wellfound_PresentationVisualDesignerStartup_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
98,Wellfound,"Data Analyst (Excel, Startup)",Excel/Data,https://wellfound.com/role/r/data-analyst,Wellfound,,Ready to apply,Competitive,Wellfound_DataAnalystExcelStartup_CustomResume.pdf,Wellfound_DataAnalystExcelStartup_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
99,Toptal,Freelance Presentation Designer,PowerPoint,https://www.toptal.com/designers/presentation,Toptal,,Ready to apply,Premium,Toptal_FreelancePresentationDesigner_CustomResume.pdf,Toptal_FreelancePresentationDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
100,Toptal,Freelance Excel / Data Expert,Excel/Data,https://www.toptal.com/finance/excel-experts,Toptal,,Ready to apply,Premium,Toptal_FreelanceExcelDataExpert_CustomResume.pdf,Toptal_FreelanceExcelDataExpert_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
